,Original Url,Meta Description 1
0,https://www.adforum.com/creative-work/ad/player/10055/inner-beauty/leos,television inner beauty for leos by xynias wetzel v büren werbeagentur gmbh
1,https://www.adforum.com/creative-work/ad/player/10124/indian-restaurant/ninemsn,television indian restaurant for ninemsn by havas partnership
2,https://www.adforum.com/creative-work/ad/player/1013/social-democratic-party/social-democratic-party,television socialdemocratic party for social democratic party by knsk werbeagentur gmbh gwa  commercial for the socialdemocratic party of germany befor
3,https://www.adforum.com/creative-work/ad/player/10246/sport-the-1st/the-observer,television sport the 1st for the observer by ogilvy uk
4,https://www.adforum.com/creative-work/ad/player/10247/history-has-changed/wind,television history has changed for wind by tbwaitalia spa
5,https://www.adforum.com/creative-work/ad/player/10268/swimming/nestle,television swimming for nestlé by publicis italy  the flavor you were running after
6,https://www.adforum.com/creative-work/ad/player/10269/sprint/nestle,television sprint for nestlé by publicis italy  the flavor you were running after
7,https://www.adforum.com/creative-work/ad/player/10270/volley/nestle,television volley for nestlé by publicis italy  the flavor you were running after
8,https://www.adforum.com/creative-work/ad/player/10297/tennis/hertz,television tennis for hertz by publicis mojo
9,https://www.adforum.com/creative-work/ad/player/10457/natural-high/,television natural high for  by mccann brisbane
10,https://www.adforum.com/creative-work/ad/player/10731/journey/ansett,television journey for ansett by gpyr
11,https://www.adforum.com/creative-work/ad/player/10772/ice-rugby/coca-cola,television ice rugby for cocacola by publicis mojo auckland  enjoy
12,https://www.adforum.com/creative-work/ad/player/10854/x-treme-sports/nike,print x  treme sports for nike by dentsu singapore
13,https://www.adforum.com/creative-work/ad/player/11065/soccer/ed-abril-grupo-exame-magazine-voce-sa,magazine soccer for ed abril  grupo exame  magazine você sa by fnazca saatchi  saatchi publicidade ltda
14,https://www.adforum.com/creative-work/ad/player/11070/golf/ed-abril-grupo-exame-magazine-voce-sa,magazine golf for ed abril  grupo exame  magazine você sa by fnazca saatchi  saatchi publicidade ltda
15,https://www.adforum.com/creative-work/ad/player/11282/sports-happen/nike,magazine sports happen for nike by j walter thompson taipei
16,https://www.adforum.com/creative-work/ad/player/1129/ian-wright/svenska-spel,television ian wright for svenska spel by fältman  malmén  draftfcb
